serialNumber,timestamp,unitPeriodUsage
F30200C8,1490972400000,203.00
F30200C8,1490973300000,99.00
F30200C8,1490974200000,148.00
F30200C8,1490975100000,85.00
F30200C8,1490976000000,106.00
F30200C8,1490976900000,215.00
F30200C8,1490977800000,181.00
F30200C8,1490978700000,151.00
F30200C8,1490979600000,137.00
F30200C8,1490980500000,161.00
F30200C8,1490981400000,111.00
F30200C8,1490982300000,239.00
F30200C8,1490983200000,481.00
F30200C8,1490984100000,529.00
F30200C8,1490985000000,440.00
F30200C8,1490985900000,459.00
F30200C8,1490986800000,487.00
F30200C8,1490987700000,492.00
F30200C8,1490988600000,493.00
F30200C8,1490989500000,529.00
F30200C8,1490990400000,548.00
F30200C8,1490991300000,488.00
F30200C8,1490992200000,564.00
F30200C8,1490993100000,389.00
F30200C8,1490994000000,178.00
F30200C8,1490994900000,139.00
F30200C8,1490995800000,151.00
F30200C8,1490996700000,144.00
F30200C8,1490997600000,63.00
F30200C8,1490998500000,68.00
F30200C8,1490999400000,113.00
F30200C8,1491000300000,470.00
F30200C8,1491001200000,389.00
F30200C8,1491002100000,268.00
F30200C8,1491003000000,198.00
F30200C8,1491003900000,205.00
F30200C8,1491004800000,447.00
F30200C8,1491005700000,437.00
F30200C8,1491006600000,413.00
F30200C8,1491007500000,346.00
F30200C8,1491008400000,226.00
F30200C8,1491009300000,226.00
F30200C8,1491010200000,239.00
F30200C8,1491011100000,191.00
F30200C8,1491012000000,209.00
F30200C8,1491012900000,280.00
F30200C8,1491013800000,170.00
F30200C8,1491014700000,157.00
F30200C8,1491015600000,149.00
F30200C8,1491016500000,127.00
F30200C8,1491017400000,193.00
F30200C8,1491018300000,166.00
F30200C8,1491019200000,181.00
F30200C8,1491020100000,125.00
F30200C8,1491021000000,88.00
F30200C8,1491021900000,122.00
F30200C8,1491022800000,156.00
F30200C8,1491023700000,170.00
F30200C8,1491024600000,171.00
F30200C8,1491025500000,152.00
F30200C8,1491026400000,170.00
F30200C8,1491027300000,148.00
F30200C8,1491028200000,153.00
F30200C8,1491029100000,132.00
F30200C8,1491030000000,140.00
F30200C8,1491030900000,188.00
F30200C8,1491031800000,285.00
F30200C8,1491032700000,178.00
F30200C8,1491033600000,183.00
F30200C8,1491034500000,184.00
F30200C8,1491035400000,201.00
F30200C8,1491036300000,204.00
F30200C8,1491037200000,205.00
F30200C8,1491038100000,275.00
F30200C8,1491039000000,494.00
F30200C8,1491039900000,416.00
F30200C8,1491040800000,551.00
F30200C8,1491041700000,659.00
F30200C8,1491042600000,531.00
F30200C8,1491043500000,436.00
F30200C8,1491044400000,469.00
F30200C8,1491045300000,416.00
F30200C8,1491046200000,221.00
F30200C8,1491047100000,207.00
F30200C8,1491048000000,194.00
F30200C8,1491048900000,257.00
F30200C8,1491049800000,284.00
F30200C8,1491050700000,172.00
F30200C8,1491051600000,274.00
F30200C8,1491052500000,305.00
F30200C8,1491053400000,272.00
F30200C8,1491054300000,211.00
F30200C8,1491055200000,226.00
F30200C8,1491056100000,233.00
F30200C8,1491057000000,228.00
F30200C8,1491057900000,212.00
F30200C8,1491058800000,209.00
F30200C8,1491059700000,210.00
F30200C8,1491060600000,227.00
F30200C8,1491061500000,227.00
F30200C8,1491062400000,225.00
F30200C8,1491063300000,224.00
F30200C8,1491064200000,231.00
F30200C8,1491065100000,265.00
F30200C8,1491066000000,476.00
F30200C8,1491066900000,469.00
F30200C8,1491067800000,617.00
F30200C8,1491068700000,773.00
F30200C8,1491069600000,566.00
F30200C8,1491070500000,557.00
F30200C8,1491071400000,559.00
F30200C8,1491072300000,557.00
F30200C8,1491073200000,551.00
F30200C8,1491074100000,541.00
F30200C8,1491075000000,518.00
F30200C8,1491075900000,705.00
F30200C8,1491076800000,651.00
F30200C8,1491077700000,572.00
F30200C8,1491078600000,563.00
F30200C8,1491079500000,547.00
F30200C8,1491080400000,366.00
F30200C8,1491081300000,257.00
F30200C8,1491082200000,177.00
F30200C8,1491083100000,173.00
F30200C8,1491084000000,286.00
F30200C8,1491084900000,491.00
F30200C8,1491085800000,453.00
F30200C8,1491086700000,326.00
F30200C8,1491087600000,200.00
F30200C8,1491088500000,145.00
F30200C8,1491089400000,77.00
F30200C8,1491090300000,66.00
F30200C8,1491091200000,87.00
F30200C8,1491092100000,153.00
F30200C8,1491093000000,172.00
F30200C8,1491093900000,533.00
F30200C8,1491094800000,391.00
F30200C8,1491095700000,172.00
F30200C8,1491096600000,190.00
F30200C8,1491097500000,163.00
F30200C8,1491098400000,164.00
F30200C8,1491099300000,147.00
F30200C8,1491100200000,119.00
F30200C8,1491101100000,136.00
F30200C8,1491102000000,139.00
F30200C8,1491102900000,161.00
F30200C8,1491103800000,138.00
F30200C8,1491104700000,159.00
F30200C8,1491105600000,140.00
F30200C8,1491106500000,150.00
F30200C8,1491107400000,124.00
F30200C8,1491108300000,125.00
F30200C8,1491109200000,136.00
F30200C8,1491110100000,58.00
F30200C8,1491111000000,124.00
F30200C8,1491111900000,70.00
F30200C8,1491112800000,101.00
F30200C8,1491113700000,150.00
F30200C8,1491114600000,149.00
F30200C8,1491115500000,243.00
F30200C8,1491116400000,346.00
F30200C8,1491117300000,311.00
F30200C8,1491118200000,291.00
F30200C8,1491119100000,271.00
F30200C8,1491120000000,287.00
F30200C8,1491120900000,288.00
F30200C8,1491121800000,178.00
F30200C8,1491122700000,263.00
F30200C8,1491123600000,379.00
F30200C8,1491124500000,219.00
F30200C8,1491125400000,495.00
F30200C8,1491126300000,343.00
F30200C8,1491127200000,264.00
F30200C8,1491128100000,204.00
F30200C8,1491129000000,172.00
F30200C8,1491129900000,159.00
F30200C8,1491130800000,353.00
F30200C8,1491131700000,518.00
F30200C8,1491132600000,262.00
F30200C8,1491133500000,180.00
F30200C8,1491134400000,94.00
F30200C8,1491135300000,249.00
F30200C8,1491136200000,554.00
F30200C8,1491137100000,705.00
F30200C8,1491138000000,560.00
F30200C8,1491138900000,417.00
F30200C8,1491139800000,150.00
F30200C8,1491140700000,151.00
F30200C8,1491141600000,161.00
F30200C8,1491142500000,169.00
F30200C8,1491143400000,168.00
F30200C8,1491144300000,170.00
F30200C8,1491145200000,158.00
F30200C8,1491146100000,144.00
F30200C8,1491147000000,146.00
F30200C8,1491147900000,151.00
F30200C8,1491148800000,170.00
F30200C8,1491149700000,154.00
F30200C8,1491150600000,162.00
F30200C8,1491151500000,147.00
F30200C8,1491152400000,137.00
F30200C8,1491153300000,138.00
F30200C8,1491154200000,140.00
F30200C8,1491155100000,487.00
F30200C8,1491156000000,531.00
F30200C8,1491156900000,489.00
F30200C8,1491157800000,450.00
F30200C8,1491158700000,544.00
F30200C8,1491159600000,575.00
F30200C8,1491160500000,647.00
F30200C8,1491161400000,639.00
F30200C8,1491162300000,584.00
F30200C8,1491163200000,565.00
F30200C8,1491164100000,570.00
F30200C8,1491165000000,564.00
F30200C8,1491165900000,213.00
F30200C8,1491166800000,178.00
F30200C8,1491167700000,187.00
F30200C8,1491168600000,174.00
F30200C8,1491169500000,203.00
F30200C8,1491170400000,179.00
F30200C8,1491171300000,290.00
F30200C8,1491172200000,54.00
F30200C8,1491173100000,88.00
F30200C8,1491174000000,99.00
F30200C8,1491174900000,94.00
F30200C8,1491175800000,68.00
F30200C8,1491176700000,51.00
F30200C8,1491177600000,140.00
F30200C8,1491178500000,139.00
F30200C8,1491179400000,238.00
F30200C8,1491180300000,68.00
F30200C8,1491181200000,71.00
F30200C8,1491182100000,59.00
F30200C8,1491183000000,57.00
F30200C8,1491183900000,101.00
F30200C8,1491184800000,170.00
F30200C8,1491185700000,168.00
F30200C8,1491186600000,209.00
F30200C8,1491187500000,136.00
F30200C8,1491188400000,146.00
F30200C8,1491189300000,169.00
F30200C8,1491190200000,180.00
F30200C8,1491191100000,151.00
F30200C8,1491192000000,151.00
F30200C8,1491192900000,105.00
F30200C8,1491193800000,116.00
F30200C8,1491194700000,372.00
F30200C8,1491195600000,357.00
F30200C8,1491196500000,424.00
F30200C8,1491197400000,492.00
F30200C8,1491198300000,443.00
F30200C8,1491199200000,306.00
F30200C8,1491200100000,255.00
F30200C8,1491201000000,260.00
F30200C8,1491201900000,222.00
F30200C8,1491202800000,167.00
F30200C8,1491203700000,179.00
F30200C8,1491204600000,180.00
F30200C8,1491205500000,165.00
F30200C8,1491206400000,190.00
F30200C8,1491207300000,231.00
F30200C8,1491208200000,336.00
F30200C8,1491209100000,463.00
F30200C8,1491210000000,459.00
F30200C8,1491210900000,427.00
F30200C8,1491211800000,329.00
