serialNumber,timestamp,unitPeriodUsage,typeid
F30200C8,1490972400000,0.53,62
F30200C8,1490973300000,26.25,62
F30200C8,1490974200000,26.31,62
F30200C8,1490975100000,26.34,62
F30200C8,1490976000000,9.57,62
F30200C8,1490976900000,0,62
F30200C8,1490977800000,0,62
F30200C8,1490978700000,23.15,62
F30200C8,1490979600000,26.34,62
F30200C8,1490980500000,26.22,62
F30200C8,1490981400000,20.54,62
F30200C8,1490982300000,0,62
F30200C8,1490983200000,0,62
F30200C8,1490984100000,0,62
F30200C8,1490985000000,11.41,62
F30200C8,1490985900000,26.34,62
F30200C8,1490986800000,26.34,62
F30200C8,1490987700000,24.87,62
F30200C8,1490988600000,0,62
F30200C8,1490989500000,0,62
F30200C8,1490990400000,0,62
F30200C8,1490991300000,0,62
F30200C8,1490992200000,26.31,62
F30200C8,1490993100000,26.34,62
F30200C8,1490994000000,26.34,62
F30200C8,1490994900000,4.3,62
F30200C8,1490995800000,0,62
F30200C8,1490996700000,0,62
F30200C8,1490997600000,3.72,62
F30200C8,1490998500000,26.28,62
F30200C8,1490999400000,26.34,62
F30200C8,1491000300000,18.76,62
F30200C8,1491001200000,22.09,62
F30200C8,1491002100000,24.67,62
F30200C8,1491003000000,0,62
F30200C8,1491003900000,11.79,62
F30200C8,1491004800000,21.19,62
F30200C8,1491005700000,16.15,62
F30200C8,1491006600000,13.05,62
F30200C8,1491007500000,22.82,62
F30200C8,1491008400000,3.95,62
F30200C8,1491009300000,0,62
F30200C8,1491010200000,0,62
F30200C8,1491011100000,17.76,62
F30200C8,1491012000000,20.75,62
F30200C8,1491012900000,18.73,62
F30200C8,1491013800000,21.83,62
F30200C8,1491014700000,9.89,62
F30200C8,1491015600000,0,62
F30200C8,1491016500000,0,62
F30200C8,1491017400000,0,62
F30200C8,1491018300000,11.03,62
F30200C8,1491019200000,8.49,62
F30200C8,1491020100000,8.84,62
F30200C8,1491021000000,10.8,62
F30200C8,1491021900000,5.47,62
F30200C8,1491022800000,4.45,62
F30200C8,1491023700000,6.5,62
F30200C8,1491024600000,6.76,62
F30200C8,1491025500000,7.11,62
F30200C8,1491026400000,6.41,62
F30200C8,1491027300000,1.64,62
F30200C8,1491028200000,0,62
F30200C8,1491029100000,0,62
F30200C8,1491030000000,0,62
F30200C8,1491030900000,22.74,62
F30200C8,1491031800000,20.07,62
F30200C8,1491032700000,26.34,62
F30200C8,1491033600000,25.14,62
F30200C8,1491034500000,0,62
F30200C8,1491035400000,0,62
F30200C8,1491036300000,5.68,62
F30200C8,1491037200000,26.34,62
F30200C8,1491038100000,26.31,62
F30200C8,1491039000000,26.28,62
F30200C8,1491039900000,4.39,62
F30200C8,1491040800000,0,62
F30200C8,1491041700000,0,62
F30200C8,1491042600000,18.14,62
F30200C8,1491043500000,26.25,62
F30200C8,1491044400000,26.34,62
F30200C8,1491045300000,18.26,62
F30200C8,1491046200000,0,62
F30200C8,1491047100000,0,62
F30200C8,1491048000000,6.64,62
F30200C8,1491048900000,26.34,62
F30200C8,1491049800000,26.34,62
F30200C8,1491050700000,26.28,62
F30200C8,1491051600000,3.39,62
F30200C8,1491052500000,0,62
F30200C8,1491053400000,0,62
F30200C8,1491054300000,21.54,62
F30200C8,1491055200000,26.1,62
F30200C8,1491056100000,25.93,62
F30200C8,1491057000000,15.42,62
F30200C8,1491057900000,0,62
F30200C8,1491058800000,24.7,62
F30200C8,1491059700000,26.31,62
F30200C8,1491060600000,5.18,62
F30200C8,1491061500000,0,62
F30200C8,1491062400000,0,62
F30200C8,1491063300000,19.93,62
F30200C8,1491064200000,26.34,62
F30200C8,1491065100000,26.19,62
F30200C8,1491066000000,16.53,62
F30200C8,1491066900000,0,62
F30200C8,1491067800000,0,62
F30200C8,1491068700000,8.9,62
F30200C8,1491069600000,26.25,62
F30200C8,1491070500000,26.34,62
F30200C8,1491071400000,26.34,62
F30200C8,1491072300000,1.17,62
F30200C8,1491073200000,0,62
F30200C8,1491074100000,0,62
F30200C8,1491075000000,24.35,62
F30200C8,1491075900000,26.34,62
F30200C8,1491076800000,26.28,62
F30200C8,1491077700000,12.03,62
F30200C8,1491078600000,0,62
F30200C8,1491079500000,0,62
F30200C8,1491080400000,13.46,62
F30200C8,1491081300000,26.31,62
