serialNumber,timestamp,unitPeriodUsage,typeid
F30200C8,1490972400000,0,69
F30200C8,1490973300000,0,69
F30200C8,1490974200000,0,69
F30200C8,1490975100000,0,69
F30200C8,1490976000000,0,69
F30200C8,1490976900000,0,69
F30200C8,1490977800000,0,69
F30200C8,1490978700000,0,69
F30200C8,1490979600000,0,69
F30200C8,1490980500000,0,69
F30200C8,1490981400000,0,69
F30200C8,1490982300000,0,69
F30200C8,1490983200000,0,69
F30200C8,1490984100000,0,69
F30200C8,1490985000000,0,69
F30200C8,1490985900000,0,69
F30200C8,1490986800000,0,69
F30200C8,1490987700000,0,69
F30200C8,1490988600000,0,69
F30200C8,1490989500000,0,69
F30200C8,1490990400000,0,69
F30200C8,1490991300000,0,69
F30200C8,1490992200000,0,69
F30200C8,1490993100000,0,69
F30200C8,1490994000000,0,69
F30200C8,1490994900000,0,69
F30200C8,1490995800000,0,69
F30200C8,1490996700000,0,69
F30200C8,1490997600000,0,69
F30200C8,1490998500000,0,69
F30200C8,1490999400000,0,69
F30200C8,1491000300000,2.86,69
F30200C8,1491001200000,0,69
F30200C8,1491002100000,0,69
F30200C8,1491003000000,0,69
F30200C8,1491003900000,0,69
F30200C8,1491004800000,130.43,69
F30200C8,1491005700000,66.82,69
F30200C8,1491006600000,114.71,69
F30200C8,1491007500000,92.91,69
F30200C8,1491008400000,0,69
F30200C8,1491009300000,9.29,69
F30200C8,1491010200000,35.73,69
F30200C8,1491011100000,0,69
F30200C8,1491012000000,0,69
F30200C8,1491012900000,0,69
F30200C8,1491013800000,0,69
F30200C8,1491014700000,0,69
F30200C8,1491015600000,0,69
F30200C8,1491016500000,0,69
F30200C8,1491017400000,0,69
F30200C8,1491018300000,0,69
F30200C8,1491019200000,0,69
F30200C8,1491020100000,0,69
F30200C8,1491021000000,0,69
F30200C8,1491021900000,0,69
F30200C8,1491022800000,0,69
F30200C8,1491023700000,0,69
F30200C8,1491024600000,0,69
F30200C8,1491025500000,0,69
F30200C8,1491026400000,0,69
F30200C8,1491027300000,0,69
F30200C8,1491028200000,0,69
F30200C8,1491029100000,0,69
F30200C8,1491030000000,0,69
F30200C8,1491030900000,0,69
F30200C8,1491031800000,0,69
F30200C8,1491032700000,0,69
F30200C8,1491033600000,0,69
F30200C8,1491034500000,0,69
F30200C8,1491035400000,0,69
F30200C8,1491036300000,0,69
F30200C8,1491037200000,0,69
F30200C8,1491038100000,0,69
F30200C8,1491039000000,0,69
F30200C8,1491039900000,206.54,69
F30200C8,1491040800000,321.61,69
F30200C8,1491041700000,303.74,69
F30200C8,1491042600000,0,69
