serialNumber,timestamp,unitPeriodUsage,typeid
F3FFD31D,1493596800000,11,12
F3FFD31D,1493597700000,2,12
F3FFD31D,1493598600000,11,12
F3FFD31D,1493599500000,12,12
F3FFD31D,1493600400000,11,12
F3FFD31D,1493601300000,2,12
F3FFD31D,1493602200000,2,12
F3FFD31D,1493603100000,3,12
F3FFD31D,1493604000000,0,12
F3FFD31D,1493604900000,0,12
F3FFD31D,1493605800000,0,12
F3FFD31D,1493606700000,0,12
F3FFD31D,1493607600000,0,12
F3FFD31D,1493608500000,0,12
F3FFD31D,1493609400000,0,12
F3FFD31D,1493610300000,0,12
F3FFD31D,1493611200000,0,12
F3FFD31D,1493612100000,0,12
F3FFD31D,1493613000000,0,12
F3FFD31D,1493613900000,0,12
F3FFD31D,1493614800000,0,12
F3FFD31D,1493615700000,0,12
F3FFD31D,1493616600000,0,12
F3FFD31D,1493617500000,0,12
F3FFD31D,1493618400000,0,12
F3FFD31D,1493619300000,0,12
F3FFD31D,1493620200000,0,12
F3FFD31D,1493621100000,0,12
F3FFD31D,1493622000000,0,12
F3FFD31D,1493622900000,0,12
F3FFD31D,1493623800000,0,12
F3FFD31D,1493624700000,0,12
F3FFD31D,1493625600000,0,12
F3FFD31D,1493626500000,0,12
F3FFD31D,1493627400000,0,12
F3FFD31D,1493628300000,0,12
F3FFD31D,1493629200000,0,12
F3FFD31D,1493630100000,0,12
F3FFD31D,1493631000000,0,12
F3FFD31D,1493631900000,1,12
F3FFD31D,1493632800000,2,12
F3FFD31D,1493633700000,2,12
F3FFD31D,1493634600000,2,12
F3FFD31D,1493635500000,2,12
F3FFD31D,1493636400000,1,12
F3FFD31D,1493637300000,0,12
F3FFD31D,1493638200000,0,12
F3FFD31D,1493639100000,1,12
F3FFD31D,1493640000000,2,12
F3FFD31D,1493640900000,2,12
F3FFD31D,1493641800000,2,12
F3FFD31D,1493642700000,1,12
F3FFD31D,1493643600000,0,12
F3FFD31D,1493644500000,0,12
F3FFD31D,1493645400000,0,12
F3FFD31D,1493646300000,12,12
F3FFD31D,1493647200000,13,12
F3FFD31D,1493648100000,12,12
F3FFD31D,1493649000000,12,12
F3FFD31D,1493649900000,13,12
F3FFD31D,1493650800000,9,12
F3FFD31D,1493651700000,13,12
F3FFD31D,1493652600000,12,12
F3FFD31D,1493653500000,10,12
F3FFD31D,1493654400000,0,12
F3FFD31D,1493655300000,0,12
F3FFD31D,1493656200000,0,12
F3FFD31D,1493657100000,0,12
F3FFD31D,1493658000000,0,12
F3FFD31D,1493658900000,0,12
F3FFD31D,1493659800000,0,12
F3FFD31D,1493660700000,0,12
F3FFD31D,1493661600000,0,12
F3FFD31D,1493662500000,0,12
F3FFD31D,1493663400000,0,12
F3FFD31D,1493664300000,0,12
F3FFD31D,1493665200000,1,12
F3FFD31D,1493666100000,0,12
F3FFD31D,1493667000000,0,12
F3FFD31D,1493667900000,0,12
F3FFD31D,1493668800000,0,12
F3FFD31D,1493669700000,0,12
F3FFD31D,1493670600000,0,12
F3FFD31D,1493671500000,0,12
F3FFD31D,1493672400000,0,12
F3FFD31D,1493673300000,0,12
F3FFD31D,1493674200000,0,12
F3FFD31D,1493675100000,0,12
F3FFD31D,1493676000000,0,12
F3FFD31D,1493676900000,1,12
F3FFD31D,1493677800000,12,12
F3FFD31D,1493678700000,13,12
F3FFD31D,1493679600000,12,12
F3FFD31D,1493680500000,12,12
F3FFD31D,1493681400000,13,12
F3FFD31D,1493682300000,10,12
F3FFD31D,1493683200000,11,12
F3FFD31D,1493684100000,10,12
F3FFD31D,1493685000000,11,12
F3FFD31D,1493685900000,10,12
F3FFD31D,1493686800000,11,12
F3FFD31D,1493687700000,10,12
F3FFD31D,1493688600000,10,12
F3FFD31D,1493689500000,6,12
F3FFD31D,1493690400000,2,12
F3FFD31D,1493691300000,11,12
F3FFD31D,1493692200000,12,12
F3FFD31D,1493693100000,12,12
F3FFD31D,1493694000000,11,12
F3FFD31D,1493694900000,12,12
F3FFD31D,1493695800000,12,12
F3FFD31D,1493696700000,12,12
F3FFD31D,1493697600000,12,12
F3FFD31D,1493698500000,5,12
F3FFD31D,1493699400000,0,12
F3FFD31D,1493700300000,0,12
F3FFD31D,1493701200000,12,12
F3FFD31D,1493702100000,12,12
F3FFD31D,1493703000000,12,12
F3FFD31D,1493703900000,13,12
F3FFD31D,1493704800000,12,12
F3FFD31D,1493705700000,12,12
F3FFD31D,1493706600000,12,12
F3FFD31D,1493707500000,13,12
F3FFD31D,1493708400000,12,12
F3FFD31D,1493709300000,13,12
F3FFD31D,1493710200000,13,12
F3FFD31D,1493711100000,12,12
F3FFD31D,1493712000000,13,12
F3FFD31D,1493712900000,12,12
F3FFD31D,1493713800000,13,12
F3FFD31D,1493714700000,13,12
F3FFD31D,1493715600000,12,12
F3FFD31D,1493716500000,7,12
F3FFD31D,1493717400000,0,12
F3FFD31D,1493718300000,0,12
F3FFD31D,1493719200000,0,12
F3FFD31D,1493720100000,0,12
F3FFD31D,1493721000000,0,12
F3FFD31D,1493721900000,0,12
F3FFD31D,1493722800000,0,12
F3FFD31D,1493723700000,1,12
F3FFD31D,1493724600000,0,12
F3FFD31D,1493725500000,1,12
F3FFD31D,1493726400000,2,12
F3FFD31D,1493727300000,2,12
F3FFD31D,1493728200000,2,12
F3FFD31D,1493729100000,1,12
F3FFD31D,1493730000000,2,12
F3FFD31D,1493730900000,2,12
F3FFD31D,1493731800000,2,12
F3FFD31D,1493732700000,2,12
F3FFD31D,1493733600000,0,12
F3FFD31D,1493734500000,0,12
F3FFD31D,1493735400000,0,12
F3FFD31D,1493736300000,0,12
F3FFD31D,1493737200000,2,12
